wavelength,flux
5862.166068250123,1.0150558909416862
5862.180671572509,1.0195954275877903
5862.195274068632,1.0257099051741445
5862.209875738513,1.0197946926341879
5862.224476582161,1.0199575952455049
5862.239076599583,1.0150293609326408
5862.253675790805,1.026266602921199
5862.2682741558265,1.0137221411513329
5862.282871694665,1.0222148488560412
5862.297468407335,1.01665308069546
5862.312064293847,1.0294572821652352
5862.326659354211,1.0213450496843337
5862.341253588444,1.021887790911039
5862.355846996554,1.0216286896756064
5862.370439578554,1.0135948756178634
5862.385031334463,1.021268203536434
5862.399622264286,1.0148569377126888
5862.4142123680385,1.0179392829684877
5862.428801645734,1.0187640012683077
5862.443390097382,1.0224059508242458
5862.457977722996,1.0119923786060039
5862.472564522588,1.0218892335188392
5862.487150496173,1.0191256242100242
5862.501735643762,1.0330565708931614
5862.516319965363,1.0174318562556426
5862.530903460996,1.0149117188378949
5862.5454861306725,1.0150928448444159
5862.560067974399,1.0181726212522508
5862.574648992191,1.0130427701833171
5862.589229184063,1.0136817846487551
5862.603808550027,1.0065738632755517
5862.61838709009,1.0144402512195765
5862.63296480427,1.0072920234355531
5862.64754169258,1.0017372061854972
5862.66211775503,1.0037499550328068
5862.676692991632,0.981426482093382
5862.691267402398,0.9512451651741218
5862.7058409873425,0.9642745149832568
5862.7204137464805,0.9476561734432156
5862.7349856798155,0.9447551531662656
5862.749556787369,0.9544970868239308
5862.76412706915,0.9612553420898848
5862.778696525171,0.9828321959491716
5862.793265155441,0.9881139159017917
5862.807832959979,1.0017239716562354
5862.822399938796,0.9970568286159821
5862.836966091896,1.0040281932589827
5862.851531419301,1.0208707563873212
5862.866095921019,1.0179704344027938
5862.8806595970655,1.0224128215092918
5862.8952224474515,1.0160559015127872
5862.909784472187,1.0170321811442764
5862.9243456712875,1.0197841639907443
5862.938906044765,1.0220154006181
5862.953465592628,1.013435146964833
5862.968024314896,1.0201053114189864
5862.982582211574,1.0239340974888147
5862.997139282679,1.0106727331120442
5863.011695528221,1.0198830987870389
5863.026250948216,1.0178698210093078
5863.040805542673,1.0178396778016594
5863.0553593116065,1.0133253502666313
5863.069912255027,1.0133532420213338
5863.084464372947,1.0246389737621997
5863.09901566538,1.0126863936140529
5863.113566132336,1.012142038948637
5863.12811577383,1.0114186826582827
5863.1426645898755,1.0063116063419717
5863.1572125804805,1.0126916154722652
5863.17175974566,1.0062269504123218
5863.186306085428,1.0180826126943112
5863.200851599796,1.0081847752018749
5863.215396288774,1.0072039801827088
5863.229940152375,1.0082310057481474
5863.244483190613,1.009284935587548
5863.259025403502,1.0002215231016391
5863.273566791048,1.0078512258590968
5863.288107353269,1.0091403319048935
5863.302647090177,1.0126408679260197
5863.31718600178,1.0056090326863911
5863.331724088094,1.016010305825544
5863.346261349133,1.0071887721135142
5863.360797784903,1.0115118032498511
5863.375333395425,1.011996889733704
5863.389868180706,1.0166482100926304
5863.404402140755,1.0113422520602573
5863.418935275595,1.003998743708553
5863.433467585227,1.0036342711377415
5863.447999069668,1.0190188665402469
5863.462529728933,1.0128601804644042
5863.47705956303,1.007892031542452
5863.491588571973,1.0095622778490112
5863.506116755776,1.0070106658429847
5863.520644114448,1.0099067639719204
5863.535170648004,1.0077776447534768
5863.5496963564565,1.0098081182960836
5863.564221239816,1.010957002001124
5863.5787452980985,0.9977600744748496
5863.593268531308,1.006394408517149
5863.607790939466,0.9939693221510968
5863.6223125225815,1.0082244538856842
5863.636833280664,0.9994271516086448
5863.65135321373,1.0060653151845336
5863.665872321788,1.0010142171850402
5863.680390604856,1.0018590283638105
5863.694908062939,1.006311701257344
5863.709424696056,0.9984023501348512
5863.723940504217,0.9996477352100144
5863.738455487432,0.9909921218423468
5863.752969645713,0.996755550808465
5863.767482979077,0.9899610934842222
5863.781995487533,0.9730370119179698
5863.796507171095,0.9820613808138384
5863.811018029772,0.9708382946149542
5863.825528063579,0.9604135495139864
5863.840037272529,0.9429745952319172
5863.854545656632,0.9239669060419708
5863.8690532159035,0.8870264031331105
5863.883559950352,0.8434954577183046
5863.898065859991,0.7824258962497733
5863.9125709448335,0.7139657509419096
5863.927075204894,0.6313667429317421
5863.941578640183,0.5633177999542879
5863.956081250708,0.5013120303327733
5863.970583036489,0.4546734412437866
5863.985083997533,0.43951067176958936
5863.999584133855,0.4604399730335925
5864.014083445465,0.5149021516232912
5864.028581932378,0.5949532023099481
5864.043079594605,0.6644847531630229
5864.057576432158,0.7499483179461027
5864.0720724450475,0.8181876593659356
5864.08656763329,0.8652700100841643
5864.101061996896,0.8997997964344719
5864.115555535876,0.9214718409342876
5864.130048250243,0.9465802472287096
5864.144540140012,0.9576110523591884
5864.15903120519,0.9756474627238108
5864.173521445795,0.9771793439977616
5864.188010861836,0.9988158506308956
5864.202499453327,0.981046517053834
5864.216987220279,0.9881821596104788
5864.2314741627015,0.9937456400573202
5864.245960280614,0.991379295902718
5864.26044557402,0.9873389130426344
5864.27493004294,0.9927952224098908
5864.289413687382,1.0008252180230337
5864.303896507357,1.0034101635314692
5864.318378502879,0.9889608674679696
5864.33285967396,1.0019780170972223
5864.347340020614,0.9963193766492788
5864.361819542853,0.9930279195359972
5864.376298240685,0.990162830765678
5864.3907761141245,0.9935063197930823
5864.405253163189,0.9879937189460763
5864.419729387882,0.9945287658687114
5864.434204788221,0.994582303085388
5864.448679364217,0.9802466702170446
5864.463153115885,0.99280163663986
5864.477626043234,0.9895561873366112
5864.492098146275,0.98627024794172
5864.506569425022,0.9900624677288182
5864.521039879489,0.9922193601695256
5864.5355095096875,0.9901620054467708
5864.5499783156265,0.991031372080725
5864.5644462973205,1.0055674803218575
5864.578913454783,1.0020973362353514
5864.593379788023,1.0019784324728938
5864.607845297057,0.9974449276310234
5864.622309981894,1.0067770350262566
5864.636773842549,1.0034604247941448
5864.65123687903,1.018313616331472
5864.6656990913525,1.001196072954054
5864.680160479527,1.0093335782602082
5864.694621043568,1.002687804997892
5864.709080783485,1.0023411648278338
5864.723539699292,1.0026030307326097
5864.7379977909995,1.0015092490502355
5864.752455058624,1.0019315294608728
5864.766911502171,0.9985768005071396
5864.781367121656,1.0001575172987966
5864.795821917095,1.0019864233651192
5864.810275888495,1.0020142954743514
5864.82472903587,1.0055717565724698
5864.839181359233,1.0120071323525874
5864.853632858593,1.0011772666805066
